time,x,y,z,w
1697786344110,-0.1279527,0.08402816,-0.004520475,0.9882039
1697786344123,-0.127675,0.08446228,-0.004600563,0.9882025
1697786344137,-0.1280909,0.0843069,-0.004382495,0.9881629
1697786344151,-0.1278193,0.08445396,-0.004150083,0.9881865
1697786344164,-0.127976,0.08441351,-0.004053136,0.9881701
1697786344180,-0.1279385,0.08418966,-0.004084131,0.988194
1697786344194,-0.1278787,0.08404032,-0.004184672,0.9882139
1697786344206,-0.1277544,0.08384963,-0.004445292,0.9882451
1697786344221,-0.1276007,0.08384709,-0.004760284,0.9882637
1697786344234,-0.1275341,0.08373652,-0.004963088,0.9882807
1697786344248,-0.127262,0.0837331,-0.004890344,0.9883165
1697786344263,-0.1272475,0.08380761,-0.004789854,0.9883124
1697786344276,-0.1270619,0.0838453,-0.004983665,0.9883322
1697786344290,-0.1269458,0.08421319,-0.005092026,0.9883152
1697786344304,-0.1265775,0.08434594,-0.005128353,0.9883509
1697786344318,-0.1261666,0.08417179,-0.005363367,0.9884171
1697786344332,-0.1260113,0.08441537,-0.005299522,0.9884165
1697786344346,-0.1256599,0.08422422,-0.005690431,0.9884754
1697786344360,-0.1252116,0.08443148,-0.005996267,0.9885128
1697786344374,-0.1254032,0.08443008,-0.006335133,0.9884865
1697786344387,-0.1256406,0.08494441,-0.006900016,0.9884086
1697786344401,-0.126652,0.08543819,-0.006989477,0.9882362
1697786344415,-0.1275998,0.08657232,-0.007059925,0.9880151
1697786344429,-0.1291634,0.08790541,-0.006677726,0.9876968
1697786344443,-0.1307629,0.08982281,-0.005340461,0.9873219
1697786344457,-0.1321497,0.09201524,-0.004436425,0.9869397
1697786344470,-0.1326057,0.09439125,-0.002968387,0.9866596
1697786344484,-0.1329829,0.0966289,-0.001830167,0.986395
1697786344499,-0.1335493,0.09955393,-0.0001069161,0.9860292
1697786344513,-0.1344959,0.1022629,0.0015818,0.985622
1697786344526,-0.1352589,0.1050203,0.00287833,0.9852246
1697786344540,-0.1353675,0.1080097,0.005138132,0.9848772
1697786344554,-0.1356455,0.1109176,0.006888337,0.9845051
